date_q,econ_group,Z_group
2019-07-01,Transport & info-com,0.6487332769782989
2019-10-01,Transport & info-com,0.8680051064467262
2020-01-01,Transport & info-com,1.3636819825341926
2020-04-01,Transport & info-com,1.5819433701907857
2020-07-01,Transport & info-com,0.9169445890498289
2020-10-01,Transport & info-com,0.7485121139925481
2021-01-01,Transport & info-com,-0.08936788479844078
2021-04-01,Transport & info-com,0.10204457915672638
2021-07-01,Transport & info-com,-0.44702315717891644
2021-10-01,Transport & info-com,-0.4947655283082399
2022-01-01,Transport & info-com,-0.5787218056081688
2022-04-01,Transport & info-com,-0.7253021934772157
2022-07-01,Transport & info-com,-0.3619105199149872
2022-10-01,Transport & info-com,-0.362126342664812
2023-01-01,Transport & info-com,-0.1399668708059754
2023-04-01,Transport & info-com,0.12037687494606786
2023-07-01,Transport & info-com,0.20685736188036716
2023-10-01,Transport & info-com,0.12064598796845867
2024-01-01,Transport & info-com,0.31636548923999824
