sector,quarter,z_hat,nll,success,n_obs_cells,n_total,z_std
INFO-COM,2020-01-01,2.1002680332118553,80.81498867351931,True,12,379,2.977329935548105
INFO-COM,2020-04-01,1.3554391595442097,70.92101785388482,True,13,395,1.8263673975477914
INFO-COM,2020-07-01,1.256340215014851,84.23562700577578,True,15,481,1.6732326618506923
INFO-COM,2020-10-01,-0.11502006291366808,64.95437040757929,True,15,524,-0.44589075266629585
INFO-COM,2021-01-01,-0.3519547710846229,70.74497737885491,True,13,556,-0.8120191114045611
INFO-COM,2021-04-01,0.2362036238412156,31.938742676187115,True,11,571,0.09684506250513457
INFO-COM,2021-07-01,-0.505917008515556,51.78891441497434,True,13,587,-1.049932508447202
INFO-COM,2021-10-01,-0.307413918125016,65.7682062816541,True,14,583,-0.7431914182531768
INFO-COM,2022-01-01,-0.7634591636598337,78.65003456483501,True,13,602,-1.4479049595785691
INFO-COM,2022-04-01,-0.17903752005796514,47.80400176344768,True,11,626,-0.5448150795231577
INFO-COM,2022-07-01,0.1675158603357256,32.47238588644932,True,12,631,-0.009296153831653916
INFO-COM,2022-10-01,-0.1595375161870402,37.05802486984034,True,10,626,-0.5146822869586332
INFO-COM,2023-01-01,0.0661237470567423,5.608013004367107,True,6,612,-0.16597445694059948
INFO-COM,2023-04-01,0.3237531009863338,15.47548258341116,True,7,616,0.2321327399542625
INFO-COM,2023-07-01,0.5346466662584011,27.039468520592575,True,8,599,0.5580204729824313
INFO-COM,2023-10-01,0.3342959308427071,15.14777908882416,True,9,592,0.24842427031538467
INFO-COM,2024-01-01,0.45720758247036464,19.80514095581551,True,8,589,0.43835609426653804
PRIMAIRES & ÉNERGIE,2011-04-01,-0.2882991009689416,0.03779191835864046,True,2,4,-0.2400337257746151
PRIMAIRES & ÉNERGIE,2011-07-01,-0.3308856766774964,0.09109066826671876,True,3,10,-0.26972853804710883
PRIMAIRES & ÉNERGIE,2011-10-01,-0.25516212731954213,0.10899979198334375,True,4,12,-0.21692794195833554
PRIMAIRES & ÉNERGIE,2012-01-01,-0.26869754353731834,0.18462964333792625,True,5,22,-0.22636593120564175
PRIMAIRES & ÉNERGIE,2012-04-01,-0.2780913710479645,0.4095063686449749,True,5,46,-0.23291606912604726
